Sensor Index,Sensor ID,Time Since PowerOn,Real time clock,temperature,pressure,humidity,gas_resistance,Heater Profile Step Index,Scanning Mode Enabled,Scanning Cycle Index,Label Tag,Error Code,label
1,479990353,24665,1722344724,31.641064,968.664612,25.686699,6069.802734,8,1,1,0,0,acetone
2,480026197,24670,1722344724,31.569696,968.387329,25.028419,6871.376465,8,1,1,0,0,acetone
0,480007249,24801,1722344724,31.323944,968.344849,26.151255,5684.846191,8,1,1,0,0,acetone
3,479999824,24814,1722344724,31.809906,968.606201,24.691172,5684.846191,8,1,1,0,0,acetone
4,479999071,24818,1722344724,32.327259,968.400269,24.428221,5684.846191,8,1,1,0,0,acetone
5,480020830,24823,1722344724,32.192455,969.042847,25.17124,5684.846191,8,1,1,0,0,acetone
6,480008288,24827,1722344724,32.074738,969.353333,25.019207,5684.846191,8,1,1,0,0,acetone
7,480006511,24832,1722344724,32.108452,968.92334,24.784067,5684.846191,8,1,1,0,0,acetone
1,479990353,25376,1722344725,31.786716,968.673401,25.519497,6139.677734,9,1,1,0,0,acetone
2,480026197,25391,1722344725,31.719105,968.391846,24.888887,6947.459961,9,1,1,0,0,acetone
0,480007249,25512,1722344725,31.4569,968.337585,25.966263,5684.846191,9,1,1,0,0,acetone
3,479999824,25546,1722344725,31.962925,968.635498,24.514471,5684.846191,9,1,1,0,0,acetone
4,479999071,25561,1722344725,32.467079,968.37146,24.260843,5684.846191,9,1,1,0,0,acetone
5,480020830,25576,1722344725,32.338463,969.047546,25.015493,5684.846191,9,1,1,0,0,acetone
6,480008288,25592,1722344725,32.210758,969.34082,24.889053,5684.846191,9,1,1,0,0,acetone
7,480006511,25607,1722344725,32.244133,968.920349,24.406118,5684.846191,9,1,1,0,0,acetone
2,480026197,26171,1722344725,31.838633,968.397156,24.6772,6997.594727,0,1,1,0,0,acetone
1,479990353,26310,1722344726,31.912277,968.674988,25.329248,6182.380371,0,1,1,0,0,acetone
0,480007249,26315,1722344726,31.349033,968.316833,25.81138,5684.846191,0,1,1,0,0,acetone
3,479999824,26320,1722344726,32.004883,968.644287,24.318863,5684.846191,0,1,1,0,0,acetone
4,479999071,26324,1722344726,32.561954,968.40625,24.074095,5684.846191,0,1,1,0,0,acetone
5,480020830,26328,1722344726,32.422989,969.053101,24.812136,5684.846191,0,1,1,0,0,acetone
6,480008288,26332,1722344726,32.329144,969.324402,24.676649,5684.846191,0,1,1,0,0,acetone
1,479990353,26450,1722344726,31.450211,968.700439,25.201981,57296.328125,1,1,1,0,0,acetone
2,480026197,26455,1722344726,31.417795,968.396301,24.581045,52958.210938,1,1,1,0,0,acetone
7,480006511,26476,1722344726,32.392147,968.961914,24.401052,5684.846191,0,1,1,0,0,acetone
0,480007249,26598,1722344726,31.00285,968.371765,25.713997,50215.769531,1,1,1,0,0,acetone
3,479999824,26603,1722344726,31.595184,968.63623,24.213329,18401.380859,1,1,1,0,0,acetone
4,479999071,26607,1722344726,32.080078,968.416199,23.947123,30865.685547,1,1,1,0,0,acetone
5,480020830,26611,1722344726,31.928623,969.053467,24.720936,17367.707031,1,1,1,0,0,acetone
6,480008288,26615,1722344726,31.795145,969.357605,24.550152,10342.598633,1,1,1,0,0,acetone
7,480006511,26759,1722344726,31.896296,968.979431,24.28331,11165.387695,1,1,1,0,0,acetone
1,479990353,27850,1722344727,30.536127,968.736023,24.901169,58554.4375,2,1,1,0,0,acetone
2,480026197,27854,1722344727,30.543753,968.396057,24.258789,54168.429688,2,1,1,0,0,acetone
0,480007249,27998,1722344727,30.287918,968.296997,25.464287,50602.886719,2,1,1,0,0,acetone
3,479999824,28003,1722344727,30.773327,968.62085,23.92828,18529.242188,2,1,1,0,0,acetone
4,479999071,28007,1722344727,31.173758,968.404602,23.650553,31045.355469,2,1,1,0,0,acetone
5,480020830,28011,1722344727,31.091019,969.035156,24.443834,17787.660156,2,1,1,0,0,acetone
6,480008288,28016,1722344727,30.908504,969.352661,24.25841,10433.648438,2,1,1,0,0,acetone
7,480006511,28159,1722344727,31.018078,968.91449,23.9771,11465.424805,2,1,1,0,0,acetone
1,479990353,32050,1722344731,30.4181,968.76355,24.81179,60634.769531,3,1,1,0,0,acetone
2,480026197,32054,1722344731,30.429205,968.431702,24.175514,56687.332031,3,1,1,0,0,acetone
0,480007249,32198,1722344732,30.272867,968.333801,25.419987,51426.277344,3,1,1,0,0,acetone
3,479999824,32202,1722344732,30.607971,968.64209,23.862886,18707.980469,3,1,1,0,0,acetone
4,479999071,32207,1722344732,30.989002,968.435059,23.589094,31480.570312,3,1,1,0,0,acetone
5,480020830,32211,1722344732,30.942455,969.074585,24.352636,18465.089844,3,1,1,0,0,acetone
6,480008288,32216,1722344732,30.762415,969.378662,24.204739,10557.571289,3,1,1,0,0,acetone
7,480006511,32359,1722344732,30.892267,969.003723,23.903692,12070.916992,3,1,1,0,0,acetone
1,479990353,32750,1722344732,31.106171,968.737793,24.885103,17353.580078,4,1,1,0,0,acetone
2,480026197,32754,1722344732,31.086603,968.410034,24.223915,17381.857422,4,1,1,0,0,acetone
0,480007249,32898,1722344732,30.930103,968.338806,25.35169,13876.842773,4,1,1,0,0,acetone
3,479999824,32902,1722344732,31.24472,968.608154,23.936007,6203.955078,4,1,1,0,0,acetone
4,479999071,32907,1722344732,31.678101,968.407227,23.810352,9641.458008,4,1,1,0,0,acetone
5,480020830,32911,1722344732,31.595631,969.053589,24.44401,6961.061523,4,1,1,0,0,acetone
6,480008288,32915,1722344732,31.482803,969.412109,24.279455,5684.846191,4,1,1,0,0,acetone
7,480006511,33059,1722344732,31.575598,968.980591,23.835835,5684.846191,4,1,1,0,0,acetone
1,479990353,33450,1722344733,31.34725,968.730896,24.865709,17510.259766,5,1,1,0,0,acetone
2,480026197,33454,1722344733,31.325659,968.394714,24.209457,17381.857422,5,1,1,0,0,acetone
0,480007249,33598,1722344733,31.145838,968.320068,25.346661,13876.842773,5,1,1,0,0,acetone
3,479999824,33602,1722344733,31.489059,968.640625,23.900448,6178.798828,5,1,1,0,0,acetone
4,479999071,33607,1722344733,31.930273,968.463257,23.373699,9667.673828,5,1,1,0,0,acetone
5,480020830,33611,1722344733,31.828724,969.08606,24.42931,6993.006836,5,1,1,0,0,acetone
6,480008288,33615,1722344733,31.712021,969.438477,24.232004,5684.846191,5,1,1,0,0,acetone
7,480006511,33620,1722344733,31.800085,968.997192,23.873682,5684.846191,5,1,1,0,0,acetone
1,479990353,34150,1722344733,31.472813,968.729248,24.794563,17495.898438,6,1,1,0,0,acetone
2,480026197,34155,1722344733,31.452658,968.415833,24.293877,17396.03125,6,1,1,0,0,acetone
0,480007249,34298,1722344734,31.268757,968.378723,25.242741,13822.894531,6,1,1,0,0,acetone
3,479999824,34302,1722344734,31.614929,968.656372,23.89897,6164.515625,6,1,1,0,0,acetone
4,479999071,34307,1722344734,32.060104,968.43512,23.618523,9632.750977,6,1,1,0,0,acetone
5,480020830,34311,1722344734,31.949116,969.078308,24.34194,7048.458008,6,1,1,0,0,acetone
6,480008288,34315,1722344734,31.843002,969.46106,24.182632,5684.846191,6,1,1,0,0,acetone
7,480006511,34320,1722344734,31.916031,969.031372,23.79645,5684.846191,6,1,1,0,0,acetone
2,480026197,34714,1722344734,31.903378,968.466675,24.086103,6694.560547,7,1,1,0,0,acetone
1,479990353,34850,1722344734,31.952457,968.742371,24.777069,5981.308594,7,1,1,0,0,acetone
0,480007249,34998,1722344734,31.730335,968.373657,25.186369,5684.846191,7,1,1,0,0,acetone
3,479999824,35002,1722344734,32.086327,968.717957,23.84795,5684.846191,7,1,1,0,0,acetone
4,479999071,35007,1722344734,32.544476,968.456543,23.637732,5684.846191,7,1,1,0,0,acetone
5,480020830,35011,1722344734,32.446045,969.132263,24.320152,5684.846191,7,1,1,0,0,acetone
6,480008288,35015,1722344734,32.329144,969.440002,24.111225,5684.846191,7,1,1,0,0,acetone
7,480006511,35020,1722344734,32.397079,969.059998,23.77272,5684.846191,7,1,1,0,0,acetone
2,480026197,35414,1722344735,32.134964,968.449097,23.990707,6796.941406,8,1,1,0,0,acetone
1,479990353,35550,1722344735,32.193539,968.768127,24.639315,6056.018066,8,1,1,0,0,acetone
0,480007249,35558,1722344735,31.933527,968.391235,25.120962,5684.846191,8,1,1,0,0,acetone
3,479999824,35702,1722344735,32.323261,968.723816,23.624664,5684.846191,8,1,1,0,0,acetone
4,479999071,35706,1722344735,32.794151,968.456543,23.591599,5684.846191,8,1,1,0,0,acetone
5,480020830,35711,1722344735,32.681702,969.137085,24.016552,5684.846191,8,1,1,0,0,acetone
6,480008288,35715,1722344735,32.553326,969.43988,24.068735,5684.846191,8,1,1,0,0,acetone
7,480006511,35720,1722344735,32.621574,969.077576,23.649794,5684.846191,8,1,1,0,0,acetone
1,479990353,36121,1722344735,32.344215,968.788208,24.532404,6122.058594,9,1,1,0,0,acetone
2,480026197,36136,1722344735,32.284374,968.506165,23.873194,6938.421387,9,1,1,0,0,acetone
0,480007249,36291,1722344736,32.063972,968.41156,24.996017,5684.846191,9,1,1,0,0,acetone
3,479999824,36306,1722344736,32.46888,968.711304,23.613897,5684.846191,9,1,1,0,0,acetone
