Sensor Index,Sensor ID,Time Since PowerOn,Real time clock,temperature,pressure,humidity,gas_resistance,Heater Profile Step Index,Scanning Mode Enabled,Scanning Cycle Index,Label Tag,Error Code,label
6,480008288,15864,1722344715,31.659124,981.331604,27.714855,5684.846191,0,1,1,0,0,redidlo
7,480006511,15868,1722344715,31.681675,981.036072,27.606606,6818.666016,0,1,1,0,0,redidlo
0,480007249,15982,1722344715,30.842304,980.619751,27.745209,482336.3125,1,1,1,0,0,redidlo
1,479990353,15987,1722344715,31.184021,980.92749,27.56184,341561.03125,1,1,1,0,0,redidlo
2,480026197,15991,1722344715,31.086603,980.633789,26.927488,488549.625,1,1,1,0,0,redidlo
3,479999824,16134,1722344715,31.355783,980.869812,26.736345,226148.40625,1,1,1,0,0,redidlo
4,479999071,16138,1722344715,31.565746,980.806396,26.759655,233896.75,1,1,1,0,0,redidlo
5,480020830,16143,1722344715,31.45731,981.289612,27.523384,121097.445312,1,1,1,0,0,redidlo
6,480008288,16147,1722344715,31.147797,981.323364,27.529446,46460.980469,1,1,1,0,0,redidlo
7,480006511,16152,1722344715,31.225296,981.101318,27.414967,63288.011719,1,1,1,0,0,redidlo
0,480007249,17382,1722344717,30.069675,980.591309,27.336662,468114.28125,2,1,1,0,0,redidlo
1,479990353,17386,1722344717,30.325186,980.863098,27.097988,342246.0,2,1,1,0,0,redidlo
2,480026197,17391,1722344717,30.274817,980.610901,26.459412,492426.0625,2,1,1,0,0,redidlo
3,479999824,17534,1722344717,30.536398,980.845581,26.116365,216949.15625,2,1,1,0,0,redidlo
4,479999071,17538,1722344717,30.684402,980.713013,26.459549,226448.46875,2,1,1,0,0,redidlo
5,480020830,17543,1722344717,30.612026,981.26593,26.979609,119654.125,2,1,1,0,0,redidlo
6,480008288,17547,1722344717,30.311543,981.303955,27.022724,45133.992188,2,1,1,0,0,redidlo
7,480006511,17552,1722344717,30.428493,981.070068,26.895527,63334.984375,2,1,1,0,0,redidlo
0,480007249,21582,1722344721,30.084726,980.532104,26.933998,445798.875,3,1,1,0,0,redidlo
1,479990353,21586,1722344721,30.272449,980.871643,26.641859,342246.0,3,1,1,0,0,redidlo
2,480026197,21591,1722344721,30.227505,980.605225,25.99465,486114.40625,3,1,1,0,0,redidlo
3,479999824,21595,1722344721,30.432739,980.821472,25.686016,202171.765625,3,1,1,0,0,redidlo
4,479999071,21599,1722344721,30.592022,980.73999,25.853722,215988.1875,3,1,1,0,0,redidlo
5,480020830,21604,1722344721,30.537745,981.253662,26.528219,118244.804688,3,1,1,0,0,redidlo
7,480006511,21611,1722344721,30.401358,981.056335,26.304636,63523.574219,3,1,1,0,0,redidlo
6,480008288,21747,1722344721,30.251089,981.315918,26.396135,43301.757812,3,1,1,0,0,redidlo
0,480007249,22282,1722344722,30.76203,980.571533,26.955847,71748.882812,4,1,1,0,0,redidlo
1,479990353,22287,1722344722,30.9555,980.872314,26.669268,73796.484375,4,1,1,0,0,redidlo
2,480026197,22291,1722344722,30.889881,980.590515,25.976007,93910.492188,4,1,1,0,0,redidlo
3,479999824,22296,1722344722,31.079365,980.829895,25.73077,37220.121094,4,1,1,0,0,redidlo
4,479999071,22300,1722344722,31.286112,980.746704,25.886189,44475.332031,4,1,1,0,0,redidlo
5,480020830,22304,1722344722,31.206287,981.266846,26.565285,31928.162109,4,1,1,0,0,redidlo
6,480008288,22308,1722344722,30.981552,981.309326,26.568626,11188.811523,4,1,1,0,0,redidlo
7,480006511,22313,1722344722,31.087152,981.05481,26.293564,18449.121094,4,1,1,0,0,redidlo
