Sensor Index,Sensor ID,Time Since PowerOn,Real time clock,Temperature,Pressure,Relative Humidity,Resistance Gassensor,Heater Profile Step Index,Scanning Mode Enabled,Scanning Cycle Index,Label Tag,Error Code,label
2,480026197,21186,1722344721,27.734921,968.248596,28.997578,45911.046875,3,1,1,0,0,normal
3,479999824,21190,1722344721,27.954885,968.440674,28.641985,20725.388672,3,1,1,0,0,normal
5,480020830,21198,1722344721,27.922543,968.802612,29.637348,12350.443359,3,1,1,0,0,normal
7,480006511,21207,1722344721,27.862986,968.659668,29.410173,7006.787598,3,1,1,0,0,normal
4,479999071,21334,1722344721,28.030426,968.306091,28.926031,25241.570312,3,1,1,0,0,normal
6,480008288,21343,1722344721,27.681925,968.966492,29.577425,9420.076172,3,1,1,0,0,normal
0,480007249,21396,1722344721,27.643963,968.183167,29.928867,48120.300781,3,1,1,0,0,normal
1,479990353,21881,1722344721,28.512115,968.542419,29.439215,13198.597656,4,1,1,0,0,normal
2,480026197,21886,1722344721,28.38732,968.238586,29.014057,15421.686523,4,1,1,0,0,normal
3,479999824,21890,1722344721,28.594086,968.431946,28.640451,6858.122559,4,1,1,0,0,normal
4,479999071,21894,1722344721,28.714512,968.298096,28.922955,8376.962891,4,1,1,0,0,normal
5,480020830,21899,1722344721,28.588505,968.814453,29.644979,5684.846191,4,1,1,0,0,normal
7,480006511,21907,1722344721,28.548758,968.654602,29.441113,5684.846191,4,1,1,0,0,normal
6,480008288,22043,1722344721,28.40733,968.968872,29.628597,5684.846191,4,1,1,0,0,normal
0,480007249,22096,1722344721,28.286133,968.184204,29.978956,13628.620117,4,1,1,0,0,normal
1,479990353,22581,1722344722,28.758209,968.549683,29.438219,13305.613281,5,1,1,0,0,normal
2,480026197,22586,1722344722,28.636328,968.186218,28.913828,15533.980469,5,1,1,0,0,normal
3,479999824,22590,1722344722,28.848288,968.429504,28.573736,6862.534668,5,1,1,0,0,normal
4,479999071,22594,1722344722,28.974163,968.315002,28.812212,8390.141602,5,1,1,0,0,normal
5,480020830,22599,1722344722,28.826712,968.789429,29.555058,5684.846191,5,1,1,0,0,normal
7,480006511,22607,1722344722,28.78804,968.690674,29.339697,5684.846191,5,1,1,0,0,normal
0,480007249,22656,1722344722,28.519421,968.20282,29.860495,13689.839844,5,1,1,0,0,normal
6,480008288,22743,1722344722,28.646612,969.007385,29.632578,5684.846191,5,1,1,0,0,normal
1,479990353,23141,1722344722,28.891302,968.545593,29.322519,13355.592773,6,1,1,0,0,normal
2,480026197,23145,1722344722,28.768301,968.208191,28.787205,15556.635742,6,1,1,0,0,normal
3,479999824,23290,1722344723,28.976624,968.439819,28.452484,6858.122559,6,1,1,0,0,normal
4,479999071,23295,1722344723,29.101496,968.321472,28.679268,8403.361328,6,1,1,0,0,normal
5,480020830,23299,1722344723,28.947102,968.795654,29.416363,5684.846191,6,1,1,0,0,normal
7,480006511,23307,1722344723,28.908915,968.685852,29.217089,5684.846191,6,1,1,0,0,normal
0,480007249,23356,1722344723,28.642338,968.211243,29.760218,13867.822266,6,1,1,0,0,normal
6,480008288,23443,1722344723,28.777592,969.018799,29.471853,5684.846191,6,1,1,0,0,normal
1,479990353,23841,1722344723,29.38349,968.546753,29.232077,5684.846191,7,1,1,0,0,normal
2,480026197,23846,1722344723,29.2215,968.238037,28.693184,6583.007812,7,1,1,0,0,normal
3,479999824,23990,1722344723,29.440603,968.449219,28.348303,5684.846191,7,1,1,0,0,normal
4,479999071,23995,1722344723,29.605825,968.326538,28.583626,5684.846191,7,1,1,0,0,normal
5,480020830,23999,1722344723,29.441452,968.817566,29.354,5684.846191,7,1,1,0,0,normal
7,480006511,24007,1722344723,29.377613,968.697998,29.107601,5684.846191,7,1,1,0,0,normal
0,480007249,24056,1722344723,29.103897,968.257263,29.656012,5684.846191,7,1,1,0,0,normal
6,480008288,24143,1722344723,29.263718,969.016724,29.291794,5684.846191,7,1,1,0,0,normal
1,479990353,24541,1722344724,29.624563,968.566223,29.08696,5684.846191,8,1,1,0,0,normal
2,480026197,24546,1722344724,29.450588,968.227844,28.541727,7002.187988,8,1,1,0,0,normal
3,479999824,24690,1722344724,29.689871,968.476929,28.204199,5684.846191,8,1,1,0,0,normal
4,479999071,24695,1722344724,29.83552,968.315186,28.442747,5684.846191,8,1,1,0,0,normal
5,480020830,24699,1722344724,29.687347,968.847778,29.192993,5684.846191,8,1,1,0,0,normal
7,480006511,24707,1722344724,29.604563,968.701843,28.960867,5684.846191,8,1,1,0,0,normal
0,480007249,24756,1722344724,29.322138,968.24054,29.619457,5684.846191,8,1,1,0,0,normal
6,480008288,24843,1722344724,29.503002,969.018005,29.157103,5684.846191,8,1,1,0,0,normal
1,479990353,25252,1722344725,29.772724,968.573364,28.917408,5684.846191,9,1,1,0,0,normal
2,480026197,25267,1722344725,29.609955,968.258667,28.367968,7385.183594,9,1,1,0,0,normal
3,479999824,25422,1722344725,29.845356,968.469055,28.024879,5684.846191,9,1,1,0,0,normal
4,479999071,25437,1722344725,29.992813,968.319092,28.262741,5684.846191,9,1,1,0,0,normal
5,480020830,25453,1722344725,29.835911,968.834412,29.018211,5684.846191,9,1,1,0,0,normal
6,480008288,25468,1722344725,29.636499,968.988647,28.958055,5684.846191,9,1,1,0,0,normal
7,480006511,25483,1722344725,29.747641,968.722473,28.768347,5684.846191,9,1,1,0,0,normal
0,480007249,25499,1722344725,29.450069,968.235229,29.375555,5684.846191,9,1,1,0,0,normal
1,479990353,26047,1722344725,29.888239,968.549377,28.662521,5736.823242,0,1,1,0,0,normal
2,480026197,26052,1722344725,29.739441,968.240906,28.136896,7806.782227,0,1,1,0,0,normal
3,479999824,26203,1722344726,29.857693,968.474182,27.790016,5684.846191,0,1,1,0,0,normal
4,479999071,26208,1722344726,30.097675,968.327148,28.050941,5684.846191,0,1,1,0,0,normal
5,480020830,26212,1722344726,29.866648,968.817017,28.789492,5684.846191,0,1,1,0,0,normal
7,480006511,26218,1722344726,29.816711,968.727173,28.531096,5684.846191,0,1,1,0,0,normal
1,479990353,26327,1722344726,29.431202,968.573425,28.530401,48558.421875,1,1,1,0,0,normal
2,480026197,26332,1722344726,29.328573,968.266479,27.998545,60981.417969,1,1,1,0,0,normal
0,480007249,26356,1722344726,29.557938,968.240906,29.152357,5706.134277,0,1,1,0,0,normal
6,480008288,26360,1722344726,29.767477,969.010315,28.731329,5684.846191,0,1,1,0,0,normal
3,479999824,26483,1722344726,29.477625,968.462891,27.671165,28939.632812,1,1,1,0,0,normal
4,479999071,26488,1722344726,29.640778,968.328003,27.886482,32989.691406,1,1,1,0,0,normal
5,480020830,26492,1722344726,29.446575,968.821594,28.654955,14770.367188,1,1,1,0,0,normal
7,480006511,26504,1722344726,29.365276,968.731018,28.410454,7970.112305,1,1,1,0,0,normal
0,480007249,26636,1722344726,29.136509,968.273193,28.956198,64875.824219,1,1,1,0,0,normal
6,480008288,26641,1722344726,29.223415,969.050354,28.608088,12879.855469,1,1,1,0,0,normal
1,479990353,27727,1722344727,28.557318,968.533569,28.188618,49230.769531,2,1,1,0,0,normal
2,480026197,27731,1722344727,28.479452,968.225708,27.649872,61332.054688,2,1,1,0,0,normal
3,479999824,27883,1722344727,28.690338,968.416931,27.345018,28880.867188,2,1,1,0,0,normal
4,479999071,27888,1722344727,28.746967,968.27948,27.538973,32837.351562,2,1,1,0,0,normal
5,480020830,27892,1722344727,28.626926,968.751404,28.339567,14883.720703,2,1,1,0,0,normal
7,480006511,27904,1722344727,28.556158,968.656616,28.046328,8042.22168,2,1,1,0,0,normal
