Sensor Index,Sensor ID,Time Since PowerOn,Real time clock,temperature,pressure,humidity,gas_resistance,Heater Profile Step Index,Scanning Mode Enabled,Scanning Cycle Index,Label Tag,Error Code,label
6,480008288,285697,1722344985,36.155407,987.093506,18.250593,5684.846191,8,1,1,0,0,softasept
4,479999071,285702,1722344985,36.679226,986.502808,17.674158,5684.846191,8,1,1,0,0,softasept
7,480006511,285706,1722344985,36.312183,986.951233,17.809687,5684.846191,8,1,1,0,0,softasept
2,480026197,285711,1722344985,36.58503,986.449402,17.751537,5684.846191,0,1,1,0,0,softasept
3,479999824,285849,1722344985,36.35865,986.648987,17.887928,5684.846191,8,1,1,0,0,softasept
5,480020830,285854,1722344985,36.887791,987.021912,18.031652,5684.846191,8,1,1,0,0,softasept
0,480007249,285858,1722344985,36.050194,986.48053,19.003923,5684.846191,0,1,1,0,0,softasept
1,479990353,285863,1722344985,36.121223,986.714844,18.951571,5684.846191,0,1,1,0,0,softasept
2,480026197,285993,1722344985,36.124325,986.486755,17.693924,19335.347656,1,1,1,0,0,softasept
0,480007249,286138,1722344986,35.555984,986.512024,18.906063,39677.621094,1,1,1,0,0,softasept
1,479990353,286143,1722344986,35.61895,986.778259,18.874102,26561.527344,1,1,1,0,0,softasept
6,480008288,286408,1722344986,36.276321,987.087402,18.200769,5684.846191,9,1,1,0,0,softasept
4,479999071,286423,1722344986,36.80407,986.508789,17.609005,5684.846191,9,1,1,0,0,softasept
7,480006511,286439,1722344986,36.420734,986.936157,17.738518,5684.846191,9,1,1,0,0,softasept
3,479999824,286593,1722344986,36.496868,986.684998,17.82893,5684.846191,9,1,1,0,0,softasept
5,480020830,286609,1722344986,37.023556,987.039368,17.977779,5684.846191,9,1,1,0,0,softasept
6,480008288,287175,1722344987,36.344334,987.09082,18.121914,5684.846191,0,1,1,0,0,softasept
4,479999071,287179,1722344987,36.893959,986.496399,17.521172,5684.846191,0,1,1,0,0,softasept
7,480006511,287184,1722344987,36.516949,986.928101,17.671803,5684.846191,0,1,1,0,0,softasept
2,480026197,287297,1722344987,35.158096,986.420898,17.561344,18957.345703,2,1,1,0,0,softasept
3,479999824,287327,1722344987,36.603001,986.682861,17.77837,5684.846191,0,1,1,0,0,softasept
0,480007249,287453,1722344987,34.655373,986.431152,18.815014,37914.691406,2,1,1,0,0,softasept
6,480008288,287458,1722344987,35.800232,987.095032,18.048468,7067.137695,1,1,1,0,0,softasept
4,479999071,287463,1722344987,36.382099,986.530457,17.424744,23818.384766,1,1,1,0,0,softasept
7,480006511,287467,1722344987,35.99147,986.918396,17.605394,15300.023438,1,1,1,0,0,softasept
5,480020830,287472,1722344987,37.11834,987.057251,17.895716,5684.846191,0,1,1,0,0,softasept
1,479990353,287597,1722344987,34.609398,986.730225,18.771402,26251.025391,2,1,1,0,0,softasept
3,479999824,287611,1722344987,36.111832,986.669495,17.657171,6122.058594,1,1,1,0,0,softasept
5,480020830,287755,1722344987,36.572712,987.019836,17.796877,15833.746094,1,1,1,0,0,softasept
6,480008288,288861,1722344988,34.845543,987.048645,17.925661,6796.941406,2,1,1,0,0,softasept
4,479999071,288865,1722344988,35.38335,986.505859,17.285755,21783.525391,2,1,1,0,0,softasept
7,480006511,288870,1722344988,35.054005,986.889893,17.474665,14998.828125,2,1,1,0,0,softasept
3,479999824,289013,1722344988,35.14925,986.660278,17.565968,5928.121582,2,1,1,0,0,softasept
