Sensor Index,Sensor ID,Time Since PowerOn,Real time clock,temperature,pressure,humidity,gas_resistance,Heater Profile Step Index,Scanning Mode Enabled,Scanning Cycle Index,Label Tag,Error Code,label
4,479999071,16600,1722344716,36.267239,985.481445,19.790668,39530.574219,0,1,1,0,0,vinegar
5,480020830,16604,1722344716,36.329357,985.993408,20.237345,34233.753906,0,1,1,0,0,vinegar
6,480008288,16608,1722344716,35.812828,985.923523,20.407568,16688.396484,0,1,1,0,0,vinegar
7,480006511,16613,1722344716,35.838512,985.826355,20.256617,22519.353516,0,1,1,0,0,vinegar
0,480007249,16726,1722344716,34.334267,985.445862,21.276144,2520615.5,1,1,1,0,0,vinegar
2,480026197,16734,1722344716,34.866737,985.42688,20.207846,2488456.75,1,1,1,0,0,vinegar
1,479990353,16870,1722344716,34.549126,985.710693,21.315046,1313662.625,1,1,1,0,0,vinegar
3,479999824,16878,1722344716,35.045586,985.648132,20.046648,1301143.625,1,1,1,0,0,vinegar
4,479999071,16882,1722344716,35.805321,985.532959,19.661602,1312399.875,1,1,1,0,0,vinegar
5,480020830,16887,1722344716,35.860588,986.013367,20.12838,655569.8125,1,1,1,0,0,vinegar
6,480008288,16891,1722344716,35.288883,985.979675,20.042501,530295.1875,1,1,1,0,0,vinegar
7,480006511,16895,1722344716,35.352512,985.840576,20.093807,410667.75,1,1,1,0,0,vinegar
0,480007249,18126,1722344717,33.498894,985.412659,20.967842,2470446.25,2,1,1,0,0,vinegar
1,479990353,18130,1722344717,33.64254,985.679993,20.965179,1335507.0,2,1,1,0,0,vinegar
2,480026197,18135,1722344717,33.967758,985.374268,19.873547,2450493.5,2,1,1,0,0,vinegar
3,479999824,18278,1722344718,34.166931,985.647583,19.75066,1274424.375,2,1,1,0,0,vinegar
4,479999071,18282,1722344718,34.851524,985.507019,19.246527,1281602.0,2,1,1,0,0,vinegar
5,480020830,18287,1722344718,34.953789,985.998474,19.778175,654940.8125,2,1,1,0,0,vinegar
6,480008288,18291,1722344718,34.371983,985.924744,19.926298,518612.3125,2,1,1,0,0,vinegar
7,480006511,18295,1722344718,34.491528,985.831482,19.792759,414910.84375,2,1,1,0,0,vinegar
0,480007249,22326,1722344722,33.441193,985.400513,20.743738,2390429.0,3,1,1,0,0,vinegar
1,479990353,22330,1722344722,33.491863,985.649719,20.73513,1346040.125,3,1,1,0,0,vinegar
2,480026197,22335,1722344722,33.830795,985.394897,19.6931,2435196.25,3,1,1,0,0,vinegar
3,479999824,22339,1722344722,33.969479,985.603943,19.504187,1212193.0,3,1,1,0,0,vinegar
4,479999071,22343,1722344722,34.671749,985.478333,19.172928,1228554.25,3,1,1,0,0,vinegar
6,480008288,22350,1722344722,34.240997,985.918701,19.829155,499268.65625,3,1,1,0,0,vinegar
7,480006511,22355,1722344722,34.370644,985.780579,19.529459,416175.5625,3,1,1,0,0,vinegar
5,480020830,22487,1722344722,34.784721,985.953857,19.689472,654940.8125,3,1,1,0,0,vinegar
0,480007249,23026,1722344722,34.103474,985.396912,20.734747,291904.21875,4,1,1,0,0,vinegar
1,479990353,23031,1722344722,34.190006,985.662781,20.791481,248001.9375,4,1,1,0,0,vinegar
2,480026197,23035,1722344722,34.495689,985.369751,19.745333,333550.5,4,1,1,0,0,vinegar
3,479999824,23039,1722344722,34.630939,985.585999,19.535049,153431.21875,4,1,1,0,0,vinegar
4,479999071,23043,1722344722,35.378357,985.473755,19.226984,175703.5,4,1,1,0,0,vinegar
5,480020830,23048,1722344722,35.468662,985.964172,19.706686,135413.90625,4,1,1,0,0,vinegar
6,480008288,23052,1722344722,34.97401,985.93219,19.859964,70562.296875,4,1,1,0,0,vinegar
7,480006511,23056,1722344722,35.076206,985.791077,19.563206,83469.1875,4,1,1,0,0,vinegar
0,480007249,23726,1722344723,34.32423,985.386902,20.749268,284365.46875,5,1,1,0,0,vinegar
1,479990353,23730,1722344723,34.433601,985.650513,20.744576,246746.984375,5,1,1,0,0,vinegar
2,480026197,23735,1722344723,34.752186,985.355774,19.709381,329684.46875,5,1,1,0,0,vinegar
3,479999824,23739,1722344723,34.87035,985.611877,19.518795,149663.84375,5,1,1,0,0,vinegar
4,479999071,23743,1722344723,35.610565,985.475281,19.189188,171294.75,5,1,1,0,0,vinegar
5,480020830,23748,1722344723,35.696644,985.951538,19.570124,134347.9375,5,1,1,0,0,vinegar
6,480008288,23752,1722344723,35.1982,985.942139,19.832354,68854.226562,5,1,1,0,0,vinegar
7,480006511,23756,1722344723,35.300705,985.795105,19.535519,82500.804688,5,1,1,0,0,vinegar
0,480007249,24426,1722344724,34.429596,985.385437,20.687944,278563.65625,6,1,1,0,0,vinegar
1,479990353,24431,1722344724,34.544102,985.63678,20.688887,244449.75,6,1,1,0,0,vinegar
2,480026197,24435,1722344724,34.884167,985.377686,19.660353,326530.625,6,1,1,0,0,vinegar
3,479999824,24439,1722344724,35.00116,985.604797,19.459276,146578.875,6,1,1,0,0,vinegar
4,479999071,24443,1722344724,35.737907,985.489014,19.139664,167923.90625,6,1,1,0,0,vinegar
5,480020830,24448,1722344724,35.811916,985.957092,19.608639,132573.796875,6,1,1,0,0,vinegar
6,480008288,24452,1722344724,35.319107,985.923401,19.771984,67439.40625,6,1,1,0,0,vinegar
7,480006511,24456,1722344724,35.416653,985.804688,19.474892,82024.992188,6,1,1,0,0,vinegar
0,480007249,25126,1722344724,34.878643,985.419617,20.628183,51644.140625,7,1,1,0,0,vinegar
1,479990353,25131,1722344724,35.03883,985.671204,20.637468,52761.746094,7,1,1,0,0,vinegar
2,480026197,25135,1722344724,35.319965,985.389893,19.531353,78914.921875,7,1,1,0,0,vinegar
3,479999824,25139,1722344724,35.450363,985.599976,19.424852,33324.65625,7,1,1,0,0,vinegar
4,479999071,25143,1722344724,36.227291,985.472534,19.1073,37948.414062,7,1,1,0,0,vinegar
5,480020830,25148,1722344724,36.301182,985.974792,19.571854,32989.691406,7,1,1,0,0,vinegar
6,480008288,25152,1722344724,35.815346,985.945862,19.756399,16418.675781,7,1,1,0,0,vinegar
7,480006511,25157,1722344724,35.897724,985.829224,19.431906,21828.103516,7,1,1,0,0,vinegar
0,480007249,25686,1722344725,35.086861,985.426453,20.552561,56914.183594,8,1,1,0,0,vinegar
1,479990353,25830,1722344725,35.274895,985.654846,20.558493,56687.332031,8,1,1,0,0,vinegar
2,480026197,25834,1722344725,35.55405,985.405396,19.525202,87851.75,8,1,1,0,0,vinegar
3,479999824,25839,1722344725,35.679901,985.589661,19.345396,37122.96875,8,1,1,0,0,vinegar
4,479999071,25843,1722344725,36.466991,985.471436,19.022888,41491.085938,8,1,1,0,0,vinegar
5,480020830,25848,1722344725,36.53941,985.991211,19.503521,35844.300781,8,1,1,0,0,vinegar
