Sensor Index,Sensor ID,Time Since PowerOn,Real time clock,temperature,pressure,humidity,gas_resistance,Heater Profile Step Index,Scanning Mode Enabled,Scanning Cycle Index,Label Tag,Error Code,label
2,480026197,17140,1722344716,31.410324,986.175903,23.766485,94744.632812,9,1,1,0,0,savo
3,479999824,17155,1722344716,31.627268,986.386902,23.313015,35784.175781,9,1,1,0,0,savo
4,479999071,17170,1722344717,32.237373,986.292542,23.037922,49892.808594,9,1,1,0,0,savo
5,480020830,17185,1722344717,32.138664,986.72699,23.512665,40699.523438,9,1,1,0,0,savo
6,480008288,17201,1722344717,31.832926,986.828247,23.624472,19041.951172,9,1,1,0,0,savo
7,480006511,17216,1722344717,31.844492,986.635376,23.52906,23925.234375,9,1,1,0,0,savo
1,479990353,17921,1722344717,31.43012,986.435974,24.169291,57373.375,0,1,1,0,0,savo
2,480026197,17925,1722344717,31.512421,986.159485,23.517822,101748.804688,0,1,1,0,0,savo
0,480007249,18060,1722344717,31.125769,986.207031,24.280363,56164.984375,0,1,1,0,0,savo
3,479999824,18069,1722344717,31.804968,986.39093,23.240582,39900.25,0,1,1,0,0,savo
4,479999071,18073,1722344717,32.399666,986.273315,22.745617,54584.222656,0,1,1,0,0,savo
5,480020830,18078,1722344717,32.302601,986.778503,23.29052,43790.625,0,1,1,0,0,savo
6,480008288,18082,1722344717,31.999172,986.864929,23.358589,20765.736328,0,1,1,0,0,savo
7,480006511,18086,1722344717,31.99744,986.631287,23.267717,25543.802734,0,1,1,0,0,savo
1,479990353,18204,1722344718,30.993168,986.529114,24.030239,1515073.0,1,1,1,0,0,savo
2,480026197,18208,1722344718,31.131428,986.154297,23.399879,3471186.5,1,1,1,0,0,savo
0,480007249,18340,1722344718,30.709351,986.256592,24.131937,2729756.75,1,1,1,0,0,savo
3,479999824,18352,1722344718,31.385401,986.422607,22.966274,1590988.5,1,1,1,0,0,savo
4,479999071,18356,1722344718,31.950247,986.290222,22.70335,2001465.875,1,1,1,0,0,savo
5,480020830,18360,1722344718,31.85434,986.789673,23.1257,931756.125,1,1,1,0,0,savo
6,480008288,18365,1722344718,31.487843,986.858582,23.215254,761338.3125,1,1,1,0,0,savo
7,480006511,18369,1722344718,31.543528,986.691467,23.240547,501469.15625,1,1,1,0,0,savo
0,480007249,19600,1722344719,29.90913,986.169678,23.796291,2724310.0,2,1,1,0,0,savo
1,479990353,19604,1722344719,30.116756,986.44574,23.615124,1558303.25,2,1,1,0,0,savo
2,480026197,19609,1722344719,30.30719,986.154968,23.012234,3773376.25,2,1,1,0,0,savo
7,480006511,19628,1722344719,30.717117,986.61261,22.67746,508188.59375,2,1,1,0,0,savo
